#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Dietas de Miembros de Órganos de Gobierno,912,23000,2014-01-27,B38075115,VIAJES SOLYSUR S.L.,"Diferencia Estancia D. Francis co Niño el 20-24/01, Hotel Vin cci Soma, Feria FITUR 2014.",174.83
Material informático no inventariable,920,22002,2014-01-27,B81996605,INSIGHT TECHNOLOGY S.L.,Symantec GOV- s BE 2012,1715.18
"Prensa, revistas, libros y otros",931,22001,2014-01-27,Q2866023A,"COLEGIO NACIONAL DE SECRETARIO, INTERV. Y TESORERO",Renovacion 2014 Cosital Networ k- Intervencion,99.17
Productos alimenticios,920,22105,2014-01-27,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",cuota Servicio. BOT 20L. Agua.  y Vasos. SAC Las Galletas.,63.38
"Reparación, man. y conserv. elementos de transport",912,21400,2014-01-27,B38482402,ANGEL BELLO S.L.U.,"Cambio Neumaticos y Lavado de Coche- E5325DCC, Alcaldía",2603.03
"Suministros de repuestos de maquinaria, utillaje",130,22111,2014-01-27,A38019923,AUTOMOCION CANARIAS S.A.,Repuesto Vehículos Policia Loc al.,378.32
Festejos y Actos Populares,338,22610,2014-01-28,B38390589,SOUND BLACK S.L.,"Equipo de Sonido e Iluminacio n llegada y Carroza, Cabalgata  Reyes del 2014",1717.35
Informáticas,920,22203,2014-01-28,B64074230,UBILIBET S.L.,"Servicios Renovacion TRAVELl a yuntamientoderarona.travel, OR G ayuntamientodearona.org, MOB I ayuntamientodearona.mobi, et",950
Material informático no inventariable,920,22002,2014-01-28,B78361482,ORACLE IBERICA S.R.L.,"2 Software Licencia Oracle Dat abase Enterprise Edition y 2 S ofware Spatial and Graph, Proc essor Perpetual",15221
Plan de Promoción Económica,433,22614,2014-01-28,B38390589,SOUND BLACK S.L.,"Sistema de Sonido en las Galle tas, Charla C.Cultural sobre C onstruccion del Nuevo C.Cultur al",192.6
Postales,920,22201,2014-01-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 28/01 /2014, Multas 552",30.46
Postales,920,22201,2014-01-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 28/1/ 14, Multas 549",15.44
Repar. conserv. y man. elementos de transporte,132,21400,2014-01-28,B38233912,SERVICIOS E LEON S.L.,Reparación Pirulo Vehículo 149 2DWG.,150.76
Actividades Socioculturales,339,22609,2014-01-29,B38443073,YAIZA BUS S.L.,"Traslado Alumnos IES Cabo Blan co a Arona. Proyecto ""Conoce t u municipio"".",170
Fiestas del Municipio,338,22611,2014-01-29,B38436499,TECNISUR TENERIFE S.L.,Cuñas Publicidad Radio Decibel ios Galas Fiestas San Antonio Abad.,81.83
Fiestas del Municipio,338,22611,2014-01-29,B38436499,TECNISUR TENERIFE S.L.,Cuñas Publicidad Radio Decibel ios. Campaña San Antonio Abad.  13 a 19 enero 2014.,143.21
Fiestas del Municipio,338,22611,2014-01-29,B38509907,"GRUAS Y SERVICIOS ADEJE, S.L",Traslado 8 Carretas desde la l aguna hasta Arona y Vuelta. Ro meria San Antonio Abad 2014.,1854
Plan de Promoción Económica,433,22614,2014-01-29,B38436499,TECNISUR TENERIFE S.L.,"10 Cuñas 1912/2013 , magia nav idad-10 Cuñas 20/12/13,Chocola tada v.s. lorenzo,10cuñas 3-4/ 01/2014 quedate en arona",107
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-01-29,A81962201,ARANZADI EDITORIAL,Agrupación Revista Administrac . Practica- Secretaria,576
Aportación a la FEMP,922,42392,2014-01-30,G28783991,"FEMP, FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROV.",CUOTA ASOCIADO FEMP 2014,4559.57
Energía eléctrica,920,22100,2014-01-30,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Av.Constitucion, j to n?6, Ayuntamiento de Arona, Estacion Bombeo, Periodo: 29/1 1/2013-30/01/2014",51.43
Fiestas del Municipio,338,22611,2014-01-30,G28029643,SOCIEDAD GENERAL DE AUTORES,"Deechos Autor Actuación Orques tas Humana,deliciosa,Wamampy.",151.67
"Prensa, revistas, libros y otros",150,22001,2014-01-30,B82947326,MARCIAL PONS LIBRERO S.L.,"2 Comentarios a Ley Haciendas,  Editorial Civitas S.A., Inter vencion e Inspección",829.08
"Prensa, revistas, libros y otros",931,22001,2014-01-30,B82947326,MARCIAL PONS LIBRERO S.L.,"2 Comentarios a Ley Haciendas,  Editorial Civitas S.A., Inter vencion e Inspección",829.08
Actividades Socioculturales,339,22609,2014-01-31,B38398038,TRANSALEX BUS S.L.,Servicio Transporte Cabo Blanc o-San Isidro y Regreso. Concej alía de Juventud.,154.5
Combustibles y carburantes,150,22103,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014 AlcaldÍa .,287.5
Combustibles y carburantes,150,22103,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014. Manteni miento.,796.77
Combustibles y carburantes,150,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Combustibles y carburantes,912,22103,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014 AlcaldÍa .,287.5
Combustibles y carburantes,912,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Combustibles y carburantes,920,22103,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014 AlcaldÍa .,287.5
Combustibles y carburantes,920,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Combustibles y carburantes,931,22103,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014 AlcaldÍa .,287.5
Combustibles y carburantes,931,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Combustibles y carburantes.,130,22103,2014-01-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Vehiculos Enero 201 4,2460.74
Combustibles y carburantes.,130,22103,2014-01-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Carburante Enero 2014, VehIcul os Policia Local",172.41
Combustibles y carburantes.,130,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Combustibles y carburantes.,130,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014 Vehículo s Policia Local.,511.95
Combustibles y carburantes.,130,22103,2014-01-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Vehiculos Enero 201 4,1222.49
Combustibles y carburantes.,170,22103,2014-01-31,B38983318,"PICAMOLINOS, S.L.",Carburante Enero 2014,1108.68
Festejos y Actos Populares,338,22610,2014-01-31,B38825733,"GUAJARA AVENTURA, S.L.N.E.","Pantalla Proyeccion, Proyector , Tecnico, Montaje Sonido- Fin  Año 2013 los Cristianos",1605
Fiestas del Municipio,338,22611,2014-01-31,A38022182,RADIO CLUB DE CANARIAS S.A.,Cuñas Publicitarias Fiesta San  Antonio Abad 2014,464.01
Limpieza y Aseo,920,22700,2014-01-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Enero 2014, Limpieza C.Educativos y Dependencias Mu nicipales, Expte 1/2010-CASV",139226.13
Limpieza y Aseo,920,22700,2014-01-31,B35745926,RALONS SERVICIOS S.L.,Servicio Enero limpieza Sala A nexa al C.C. Cabo Blanco.,233.05
Mantenimiento Integral del Litoral,173,22730,2014-01-31,U76534924,UTE LITORAL ARONA,"Servicio Enero 2014 Gestión de l Litoral, Expte2/10-casp",28349.1
Material informático no inventariable,920,22002,2014-01-31,A81460669,Q-MATIC SISTEMAS S.A.,"Mantenimiento Sistema Gestion y Direccionamiento de Ciudadan os Q,Matic",8008.92
Ordinario no inventariable,920,22000,2014-01-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Facturación Enero 2014 Materia l oficina.,567.4
Plan de Promoción Económica,433,22614,2014-01-31,A28281368,RADIO POPULAR S.A. CADENA COPE,Anuncio Programación en Emisor a Cope Tenerife. Promoción Eco nómica.,599.2
Plan de Promoción Económica,433,22614,2014-01-31,A38022182,RADIO CLUB DE CANARIAS S.A.,Cuñas Publicitarias Rebajas 20 14.,1264.27
Plan de Promoción Económica,433,22614,2014-01-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Enero 2014. Manteni miento.,796.77
Plan de Promoción Económica,433,22614,2014-01-31,B38530655,LA OPINION DE TENERIFE S.L.U.,"Publicacion en la Opinion , el  07/01, Arona de Rebajas,",1004.2
Plan de Promoción Económica,433,22614,2014-01-31,B38534392,TINTORERIA LOS PRINCIPES S.L.,"Limpieza de Manteles, techos y  Carpas en  Campañas Navidad A rona 2013",404.02
Plan de Promoción Económica,433,22614,2014-01-31,B76563378,"NEGOCIOS Y NUEVAS TECNOLOGIAS, S.L.",Promocion Campaña de Rebajas. Promoción Economica.,454.75
Postales,920,22201,2014-01-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,"Facturacion Enero 2014, Corres pondencia Franqueo Pagado",14008.82
Postales,920,22201,2014-01-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 31/1/ 14, Multas 554",59.17
Postales,920,22201,2014-01-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 31/1/ 14, Plusvalia 555",10.9
Postales,920,22201,2014-01-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 31/1/ 14, Rentas 553",2.62
Productos alimenticios,920,22105,2014-01-31,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuotas Servicio Agua.,48.15
Publicidad y Propaganda,920,22602,2014-01-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicacion Anuncio en EL DIA,  pag.18, 15/01/14, Deposito Mu nicipal de Vehiculos de playa de las americas",577.8
Publicidad y Propaganda,920,22602,2014-01-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicacion en el DIA , pag.19 , el 31/1/14, Anuncio Recaudac ion Periodo cobro 29/1/14 al 2 8/03/2014",288.9
Repar. mant. y cons. Equipos para procesos informa,920,21600,2014-01-31,B38272829,PLANIFICACION Y METODOS S.L.,3 Kit Limpieza y 3 Goma Tracci on,146.06
Repar. mant. y conserv. elementos de transporte,920,21400,2014-01-31,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo TF1852CC,107.54
Repar. mant. y conserv. elementos de transporte,920,21400,2014-01-31,B38788287,"TALLER JUAN GOMEZ, S.L.","Trabajo en Vehiculo E-0545-CZD , Peugeot 206, 3 ptas, Notific adores",681.29
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-01-31,B38851788,INVERSIONES DELKA CARYBE S.L.,"Suministro Compra Pintura Seña l 18L. Amarilla,Blanca,Azul.",713.48
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-01-31,B38889911,"INVERSIONES MARTIN DORTA, S.L.",Copia de Llave.,1.2
Servicio de Atención Telefónica,925,22720,2014-01-31,B62916077,KONECTA BTO S.L.,"Servicio Enero 2014 Atención t elefonica 010 y 092 ,Expte 1/0 9-casv",38730.19
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2014-01-31,A28010478,IMESAPI S.A.,"Certificación Enero 2014 SErvi cio Mto. Instalaciones Electri cas,Dependencias Adtivas,Local es Sociales,Deportivos y Turis",192253.76
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2014-01-31,A28010478,IMESAPI S.A.,"Certificación Enero 2014 SErvi cio Mto. Instalaciones Electri cas,Dependencias Adtivas,Local es Sociales,Deportivos y Turis",192253.76
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2014-01-31,A28010478,IMESAPI S.A.,"Certificación Enero 2014 SErvi cio Mto. Instalaciones Electri cas,Dependencias Adtivas,Local es Sociales,Deportivos y Turis",192253.76
Servicio Mantenimiento Alumbrado Público,165,22712,2014-01-31,A28010478,IMESAPI S.A.,"Certificación Enero 2014 SErvi cio Mto. Instalaciones Electri cas,Dependencias Adtivas,Local es Sociales,Deportivos y Turis",192253.76
Servicio Recogida de Papel Cartón,162,22710,2014-01-31,U38732830,UTE CLUSA-MCCSA,Servicio Enero 2014 Transporte  Residuos Papel y Carton.,19125.21
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-01-31,U76525534,UTE ARONA,"Servicio Enero 2014, Gestion d e Residuos, Expte 1/10-casp",513205
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-01-31,U76525534,UTE ARONA,"Servicio Enero 2014, Limpieza Viaria, expte 1/10-casp",500623.98
Arrendamientos de Material de Transporte,132,20400,2014-02-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Renting Febrero 2014, Vehiculo s de la Policia Local",11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-02-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Primas Febrero 2014 Póliza de Salud, Expte 6/12-casv",16912.5
Material informático no inventariable,920,22002,2014-02-01,B38581393,TECNISUR COPIADORAS S.L.,Facturación Contadores Fotocop iadora Konica Minolita Bizhub.,2348.76
Seguridad,920,22701,2014-02-02,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Enero 2014 Vigilancia,1464.98
Energía eléctrica,340,22100,2014-02-03,A81948077,ENDESA ENERGIA S.A.U.,"Suministro en Av. Arquitecto G omez Cuesta, n?finca playa las  americas, periodo: 01/01/2014 -31/01/2014",6292.06
Repar. mant. y cons. Mobiliario,920,21500,2014-02-03,B38621850,FERRETERIA HERMALAY S.L.,Linterna Stanley Recarg- Bedel  Marcos,57.78
"Desinfectantes, raticidas",313,22115,2014-02-04,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,"Desratizacion y Desinsectacion  en el Mes Febrero 2014, Contr ol Plagas en vias y espacios p ublicos",3852
Servicio de mantenimiento de vías y edificios,155,22713,2014-02-04,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Enero 2014""Contr atacion Servicio y Conservacio n Ed. Municipales y Vias Publi cas, Exp 7/09-CASV",194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2014-02-04,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Enero 2014""Contr atacion Servicio y Conservacio n Ed. Municipales y Vias Publi cas, Exp 7/09-CASV",194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2014-02-04,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Enero 2014""Contr atacion Servicio y Conservacio n Ed. Municipales y Vias Publi cas, Exp 7/09-CASV",194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2014-02-04,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Enero 2014""Contr atacion Servicio y Conservacio n Ed. Municipales y Vias Publi cas, Exp 7/09-CASV",194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2014-02-04,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Enero 2014""Contr atacion Servicio y Conservacio n Ed. Municipales y Vias Publi cas, Exp 7/09-CASV",194173.79
Actividades Complementarias URBAN,494,22692,2014-02-05,G28029643,SOCIEDAD GENERAL DE AUTORES,Actuación Jóvenes Cantadores e l 23/12/2013.,117.7
Energía eléctrica,920,22100,2014-02-05,A81948077,ENDESA ENERGIA S.A.U.,Facturación Enero 2014 Cód. Ag rupacion 1177881.,3840.03
Plan de Promoción Económica,433,22614,2014-02-05,B38492237,HIT RADIO CANARIAS S.L.,Promoción y Difusión Campaña d e Rebajas,359.52
Primas de seguros,150,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehiculos, Manteni miento 8867FLY,9021BWD,Edifica ciones E9914BFP,R3422BCH,TF006 838AK,URB E INSPECC5224DHJ,31/",4033.43
Primas de seguros,912,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehículos- Alcaldí a-2744-CSJ , 6139BDC Y 5325DCC .31/12/2013-30/12/2014",2241.74
Primas de seguros vehiculos mples.,130,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehiculos de la Po licia Local, periodo: 31/12/20 13-30/12/2014",14730.14
Primas de seguros vehículos municipales,931,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehículos  Inspecc ión y Rentas- 8685FGF, Periodo : 31/12/13-30/12/14",299.12
Primas de seguros vehículos municipales.,170,22401,2014-02-05,A28141935,"MAPFRE FAMILIAR, CIA. SEGUROS Y REASEGUROS S.A.","Poliza Vehiculos, Medioambient e 8049 CRY, Periodo: 10/02/201 4-10/02/2015",367.79
Primas de seguros vehículos municipales.,170,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehiculos, Medioam biente 9297FTP Y TF006942CB",892.81
Primas de seguros vehículos municipales.,920,22401,2014-02-05,W0072130H,ZURICH SEGUROS,"Poliza 2014 Vehiculos Informat ica 0305FCH,Notificador 0545CZ D y 3463DHH, Servicios Grales TF001852CC,5224CSC, Period 31/",2312.81
Productos alimenticios,920,22105,2014-02-05,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT Agua 20L, Vasos 500u. Policía Local.",51.4
Productos alimenticios,920,22105,2014-02-05,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, BOT20L. Agua, Vasos. SAC Los Cristianos.",63.38
Recogida y acogida de animales.,313,22704,2014-02-05,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Acogida, Mantenimiento y Estan cia Perros Abandonados. Enero 2014.",5765.99
"Reparación, man. y conserv. elementos de transport",150,21400,2014-02-05,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo 3140CFK.,80.25
Actividades Socioculturales,339,22609,2014-02-06,B38443073,YAIZA BUS S.L.,Traslado Alumnos desde la Estr ella hasta Arona Casco y Vuelt a. Proyecto Conoce Tu Municipi o.,170
Energía eléctrica,320,22100,2014-02-06,A81948077,ENDESA ENERGIA S.A.U.,Facturacion Enero 2014 Codigo Agrupacion 1179678.,6210.08
Material informático no inventariable,920,22002,2014-02-06,B81996605,INSIGHT TECHNOLOGY S.L.,Red Hat Enterprise Linux,2713.91
Repar. conserv. y man. elementos de transporte,132,21400,2014-02-06,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo TF4428BU P olicia Local.,139.31
Repar. conserv. y man. elementos de transporte,132,21400,2014-02-06,E76536747,COMUNIDAD DE BIENES MON-TA 2011,Reparación Máquina de Agua. Po licía Local.,80.25
Actividades Socioculturales,339,22609,2014-02-07,B38443073,YAIZA BUS S.L.,Traslado Alumnos desde Centro de Secundaria Los Cristianos h asta Arona y Vuelta. Proyecto Conoce tu Municipio.,170
Energía eléctrica,920,22100,2014-02-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Enero 2014, Codigo  AGRUP. 1179931.",65596.29
Energía eléctrica,920,22100,2014-02-07,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Enero 2014, Codigo  AGRUP. 0443585.",152.63
Inversiones en la Red de Agua,452,60610,2014-02-07,A76624345,CANARAGUA CONCESIONES S.A.,"Cambio de Acometida para separ ar jardines de bombeo y baño m inusvalidos en Tenerife Royal Garden, las Américas",404.32
Material informático no inventariable,920,22002,2014-02-07,B96270681,"ESTRATEGIA DIRECCION, S.L.",Mantenimiento Smile AÑo 2014,1376
Postales,920,22201,2014-02-07,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 07/02 /14, Catastro Notf 901",20.81
Postales,920,22201,2014-02-07,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 07/02 /14, Multas 557",26.36
Postales,920,22201,2014-02-07,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 07/02 /2014, Multas 556",20.05
Primas de seguros,150,22401,2014-02-08,A28007748,ALLIANZ  COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,"Poliza Vehículo TF7654AL, Peri odo: 01/03/14-01/03/15",644.43
Energía eléctrica,150,22100,2014-02-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Enero 2014 Cod. Ag rupación 1181201.,19560.99
Energía eléctrica,150,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturaci?n Enero 2014 Cod. Ag rupaci?n 0443999.,939.85
Energía eléctrica,312,22100,2014-02-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Enero 2014 Cod. Ag rupación 1180696.,4072.98
Energía eléctrica,312,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 Cod. Ag rupación 0444044.,1657.28
Energía eléctrica,312,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 cod. Ag rupación 0444059.,711.01
Energía eléctrica,320,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 Cod. Ag rupación 0444044.,1657.28
Energía eléctrica,340,22100,2014-02-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Enero 2014 Cod. Ag rupación 1181214.,16959.16
Energía eléctrica,340,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 Cod. Ag rupación 0445276,1830.23
Energía eléctrica,920,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014  Cod. A grupacion 0444082,34992.97
Energía eléctrica,920,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 cod. Ag rupación 0374551,111.39
Energía eléctrica,920,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 cod. Ag rupación 0444097,1392.88
Energía eléctrica,920,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Enero 2014 Cod. Ag rupación 0445276,1830.23
Energía eléctrica,920,22100,2014-02-10,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Enero, Codigo Agru pacion 0374545",1030.46
Material Convenios Fomento Empleo,241,22612,2014-02-10,B38621850,FERRETERIA HERMALAY S.L.,"Suministro Uniformidad- Promoc ion Economica, Programa Promoc ion Empleo Arona 2013",153.75
"Prensa, revistas, libros y otros",931,22001,2014-02-10,Q2866023A,"COLEGIO NACIONAL DE SECRETARIO, INTERV. Y TESORERO",Renovacion 2014 Suscripcion Re vista Estudios Locales- Interv encion,182.69
Tributos de las Entidades Locales,161,22502,2014-02-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Enero 2014 Depuración  y Vertido.,143067.86
Tributos de las Entidades Locales,161,22502,2014-02-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Enero 2014 Desalacion,196456.72
