#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Energía eléctrica,920,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 04 de diciembre de 2014 a 08 de ener o de 2015;CUPS: ES003160115774 2001ST0F-ALQUILERES/VARIOS--,752.39
Energía eléctrica,920,22100,2015-01-14,A81948077,ENDESA ENERGIA S.A.U.,Periodo de Facturación: 05 de diciembre de 2014 a 09 de ener o de 2015;CUPS: ES003160119908 3001EH0F-ALQUILERES/VARIOS--,1219.4
Energía eléctrica,920,22100,2015-01-14,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60008419302;Periodo d e consumo: 05 de diciembre de 2014 a 08 de enero de 2015;CUP S: ES0031601179026001RF0F-ALQU,379.28
Festejos y Actos Populares,338,22610,2015-01-14,B38794327,AUTO GRUAS CABELLO S.L.U.,Carroza Caballos para Cabalgat a de Reyes- Fiestas,371.42
Aportación Comité Español Iluminación,165,42393,2015-01-15,G78487832,COMITE ESPAÑOL DE ILUMINACION,PDO FACTURA 16/2015/ E. Cuota Socio Entidad año 2015.,440
Elementos de Transporte,170,21400,2015-01-15,B38342424,NEUMATICOS ATLANTICO S.L.,"Neumaticos, Válvulas e Inflado  TF6942CB",81.56
Energía eléctrica,150,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031601272638001PY0F-ALQUILERE S/VARIOS--,161.05
Energía eléctrica,150,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 09/ 12/2014 AL 09/01/2015;CUPS: ES 0031607609138001MY0F-ALQUILERE S/VARIOS--,259.7
Energía eléctrica,320,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 02/01/2015;CUPS: ES 0031607325347001FA0F-ALQUILERE S/VARIOS--,797.78
Energía eléctrica,320,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 09/ 12/2014 AL 08/01/2015;CUPS: ES 0031607327577001HS0F-ALQUILERE S/VARIOS--,657.06
Energía eléctrica,340,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 02/01/2015;CUPS: ES 0031601009879001XK0F-ALQUILERE S/VARIOS--,997.14
Energía eléctrica,340,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 02/01/2015;CUPS: ES 0031607605802001EH0F-ALQUILERE S/VARIOS--,1061.52
Energía eléctrica,340,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601281498003KV0F-ALQUILERE S/VARIOS--,581.52
Energía eléctrica,340,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031607329208002EV0F-ALQUILERE S/VARIOS--,1270.46
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 01/01/2015;CUPS: ES 0031601154655001WZ0F-ALQUILERE S/VARIOS--,1133.18
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031601151263001TP0F-ALQUILERE S/VARIOS--,220.4
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031601195067001FW0F-ALQUILERE S/VARIOS--,1524.53
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031607331091001NY0F-ALQUILERE S/VARIOS--,1524.78
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031607331094001GQ0F-ALQUILERE S/VARIOS--,539.88
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031607607738001QQ0F-ALQUILERE S/VARIOS--,1022.26
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 01/ 12/2014 AL 02/01/2015;CUPS: ES 0031607607739001ZG0F-ALQUILERE S/VARIOS--,454.69
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 02/01/2015;CUPS: ES 0031601024248001RR0F-ALQUILERE S/VARIOS--,664.11
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 02/01/2015;CUPS: ES 0031601151262001WC0F-ALQUILERE S/VARIOS--,1043.57
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601025011001PE0F-ALQUILERE S/VARIOS--,1000.6
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601084694001QT0F-ALQUILERE S/VARIOS--,2101.27
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601084697001PX0F-ALQUILERE S/VARIOS--,1591.26
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601088058001LC0F-ALQUILERE S/VARIOS--,445.73
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031601242368001GF0F-ALQUILERE S/VARIOS--,476.29
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 02/ 12/2014 AL 05/01/2015;CUPS: ES 0031607329646001EG0F-ALQUILERE S/VARIOS--,950.97
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 03/ 12/2014 AL 07/01/2015;CUPS: ES 0031601154666001CC0F-ALQUILERE S/VARIOS--,602.64
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 03/ 12/2014 AL 07/01/2015;CUPS: ES 0031601179015001YR0F-ALQUILERE S/VARIOS--,845.07
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 03/ 12/2014 AL 07/01/2015;CUPS: ES 0031607607736001KV0F-ALQUILERE S/VARIOS--,215.94
Energía eléctrica,920,22100,2015-01-15,A81948077,ENDESA ENERGIA S.A.U.,periodo de facturación del 04/ 12/2014 AL 09/01/2015;CUPS: ES 0031607605765001RW0F-ALQUILERE S/VARIOS--,251.78
Energía eléctrica,920,22100,2015-01-15,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60090204052;Periodo d e consumo: 10 de diciembre de 2014 a 13 de enero de 2015;CUP S: ES0031601265644001GF0F-ALQU,67.85
Energía eléctrica,920,22100,2015-01-15,B82846825,ENDESA ENERGIA XXI S.L.,Contrato 60090289324;Periodo d e consumo: 11 de diciembre de 2014 a 13 de enero de 2015;CUP S: ES0031601245093001DJ0F-ALQU,132.92
Estudios y trabajos técnicos,336,22706,2015-01-15,B85024925,"WHITE ROCK, GRAFICA,MUSEOS PACKAGING & SENSACION S","Desarrollo y Conceptualizacion  de Ideas, Rectificativa 071/1 4, Equipamiento C. Información  Patrimonio.Exp13/14-cmsv",14500
Festejos y Actos Populares,338,22610,2015-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Anuncio 05/01/2015 , pag9, Faldon Cabalgata Reyes  Magos 2015",401.25
Fiestas del Municipio,338,22611,2015-01-15,B76656404,ANIMA EVENTOS TENERIFE S.L.,Reparto Publicitario  400 Cart eles  y 4000 Tripticos 2000 Fl ayer- Fiestas S. Antonio,535
Fiestas del Municipio,338,22611,2015-01-15,G38646907,AGRUPACION FOLKLORICA CHAVEÑA,"Actuacion en Baile Magos Arona  2015, San Antonio Abad",250
"Jurídicos, Contenciosos",920,22604,2015-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion bando Alcaldia en el diario DE AVISOS, 04/01/15,  Cabalgata de Reyes",802.5
Locomoción de Personal,4911,23120,2015-01-15,A10005510,VIAJES HALCON S.A.,"Billete D. Monica Garcia Delga do, TCI-MAD-TCI, L?nea Urban A rona",136
Ordinario no inventariable,912,22000,2015-01-15,B38240933,IMPRENTA REYES S.L.,1000 Tarjetas de Visita format o 8.5*5cm/ Tarjetas  Francisco  Niño- Protocolo,222.38
Plan de Promoción Económica,433,22614,2015-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion faldon en el Diari o de Avisos el 03 y 4 01/15,-L a Estrella de los Reyes Llega Arona",1605
Postales,920,22201,2015-01-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/1/ 15, Rentas 650",5.36
Postales,920,22201,2015-01-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/1/ 15, Rentas 651",32.73
Publicidad y Propaganda,920,22602,2015-01-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Bando Alcaldia el 08/01/15, pag 10Diversas activ idades ludicas",449.4
Repar. conserv. y man. elementos de transporte,132,21400,2015-01-15,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo 1492-DWG,140.06
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-01-15,B38621850,FERRETERIA HERMALAY S.L.,Asiento Inodoro  Victoria - Ma ntenimiento,57.47
"Reparaciones, Mante. y conserv. Maquinaria e Inst.",929,21300,2015-01-15,B76629948,MDT REPARACION E INSTLACION DE MAQUINARIA DE TALLER,Reparar Maquina agua a Presion  - Policia Local,53.5
Servicio de mantenimiento de vías y edificios,1532,22713,2015-01-15,B38909461,"TRANSPORTES MESA LA FORTALEZA, S.L.",Reparacion en varias calles de l Municipio,4752.24
Servicio de mantenimiento de vías y edificios,1532,22713,2015-01-15,B38909461,"TRANSPORTES MESA LA FORTALEZA, S.L.",Reparaciones en Varias Calles del Municipio,2161.91
Energía eléctrica,340,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1921.46
Energía eléctrica,920,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,472.72
Energía eléctrica,920,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,722.71
Energía eléctrica,920,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,843.62
Energía eléctrica,920,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,974.42
Energía eléctrica,920,22100,2015-01-16,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1138.75
Energía eléctrica,920,22100,2015-01-16,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2561.86
Fiestas del Municipio,338,22611,2015-01-16,B38304341,AGUAS DEL VALLE DE LA OROTAVA SL,"42 Pack 12 Botellas 33CL, 10 P ack 6 Botellas 1.5 CL-Fiestas San Antonio Abad",118.56
Fiestas del Municipio,338,22611,2015-01-16,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Minimedia Espuma Gruesa 40 -Fi estas San Antonio,19.44
Fiestas del Municipio,338,22611,2015-01-16,G28029643,SOCIEDAD GENERAL DE AUTORES,"Derechos Autor Orquesta Mambo latino, 16/1/15; Pasion Gomera  17/1/15; Orquesta Wamampy 18/ 1/15,San Antonio Abad",331.43
Fiestas del Municipio,338,22611,2015-01-16,G38646907,AGRUPACION FOLKLORICA CHAVEÑA,Ensayos Candidatas y Coordinac ion de la Gala Romera en Honor  San Antonio Abad Viernes 16 / 01/2015,800
Fiestas del Municipio,338,22611,2015-01-16,V38740841,S.A.T. BODEGAS DE VILAFLOR,Vino Tinto 2014- Fiestas San A ntonio Abad 2015,374.5
Plan de Promoción Económica,433,22614,2015-01-16,B76528595,"SPORTIFE EVENTOS, S.L.","Actuacion Varios Artistas en l os Cristianos, Circolandia en las Galletas- Campaña Navidad,  Rectificativa 1488",5778
Fiestas del Municipio,338,22611,2015-01-17,B38896254,SONIDO E ILUMINACION DINAMICA SL,"Realizacion Actuacion Musical,  Orquesta Deliciosa 17/1/15, H onor San Antonio",1284
Fiestas del Municipio,338,22611,2015-01-18,B38425468,ORQUESTA WAMAMPY,"Actuacion en Pz Cristo Salud, Sabado 18/01/15, San Antonio A bad",1819
Fiestas del Municipio,338,22611,2015-01-18,G38490736,A.C. PARRANDA DE ALDEA BLANCA,"Participacion en Romeria San A ntonio Abad, el 18/01/15",250
Fiestas del Municipio,338,22611,2015-01-18,G38957734,ASOCIACION DE BAILARINES HERREÑOS EN TENERIFE,Actuacion en Romeria San Anton io Abad,300
Energía eléctrica,150,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,FACT. ENER ENTRE REALES         P1,212.41
Energía eléctrica,320,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,362.62
Energía eléctrica,320,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,458.85
Energía eléctrica,320,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,796.61
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,405.18
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,466.11
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,505.21
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,571.26
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,747.23
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,795.5
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,897.07
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1114.51
Energía eléctrica,920,22100,2015-01-19,A81948077,ENDESA ENERGIA S.A.U.,FACT LECT. REALES PUNTA         P1,210.64
Energía eléctrica,920,22100,2015-01-19,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,206.31
Energía eléctrica,920,22100,2015-01-19,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,284.17
Energía eléctrica,920,22100,2015-01-19,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,231.85
Fiestas del Municipio,338,22611,2015-01-19,B38418653,SANITARIOS PORTATILES S.L.,4 Alquiler Sanitarios- Fiestas  San Antonio Abad 2015,529.65
Fiestas del Municipio,338,22611,2015-01-19,B38645735,AINHFER S.L.,"Montaje Escenario, 12 Barandil las Escenario- Fiestas San Ant onio Abad en Pz Arona",856
Fiestas del Municipio,338,22611,2015-01-19,B38853990,SOUND CANARIAS S.L.U.,Servicio Alquiler y Montaje So nido e Iluminación Actos Fies  tas San Antonio Abad,6206
Fiestas del Municipio,338,22611,2015-01-19,B38977955,EUGENIO REVERON SIERRA S.L.,"Bag in Box Blanco 15 litros-Fi estas, San Antonio Abad",83.46
Fiestas del Municipio,338,22611,2015-01-19,G38035192,C.I.T. SUR,Servicio 3 Azafatas par Fiesta s San Antonio Abad dia 18/01/1 5,170
Fiestas del Municipio,338,22611,2015-01-19,G76552900,ASOCIACION CULTURAL BENKE,"Actuaciones  Grupo  Vedao en l a Gala Romera Mayor 16/1/15, S an Antonio Abad",1000
Energía eléctrica,150,22100,2015-01-20,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,712.21
Energía eléctrica,920,22100,2015-01-20,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,547.53
Energía eléctrica,920,22100,2015-01-20,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,348.41
Energía eléctrica,920,22100,2015-01-20,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,86.77
Festejos y Actos Populares,338,22610,2015-01-20,A28010478,IMESAPI S.A.,"Revision y Legalizacion de Ins talación Electrica, Fiesta Fin  de Año Los Cristianos 2014. a sí como guardia presencial.",1557.82
Fiestas del Municipio,338,22611,2015-01-20,A28010478,IMESAPI S.A.,Revision de Instalacion del 14 -18 Enero 2015-Fiestas  San An tonio Abad,1011.83
Fiestas del Municipio,338,22611,2015-01-20,B38509170,COMERCIAL RAECAN S.L.,12Fleco Plastico Multicolor 25  Metro- Fiestas Patronales San  Antonio Abad 17/1/15,57.78
Fiestas del Municipio,338,22611,2015-01-20,B38509170,COMERCIAL RAECAN S.L.,Castillo Fuegos Artificiales- Fiestas Patronales de San Anto nio Abad 17/1/15,1545
Fiestas del Municipio,338,22611,2015-01-20,E76611144,C.B. CANARIAS SUR LATINO,"Actuación Musical en Arona, mo tivo Fiestas San Antonio Abad  2015",1605
Repar. mant. y cons. Mobiliario,150,21500,2015-01-20,S2817035E,CENTRO ESPAÑOL DE METROLOGIA,Certificado Verificación y Cal ibración Sonometro,1150
Atenciones protocolarias y representativas,912,22601,2015-01-21,B38454781,DRAYCA SUR SERVICIOS S.L.,"Cuadro Homenaje, Maria la Part era",22
Energía eléctrica,150,22100,2015-01-21,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,388.28
Energía eléctrica,150,22100,2015-01-21,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,65.96
Energía eléctrica,320,22100,2015-01-21,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,872.13
Energía eléctrica,320,22100,2015-01-21,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,78.61
Energía eléctrica,920,22100,2015-01-21,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,539.32
Energía eléctrica,920,22100,2015-01-21,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,392.75
Energía eléctrica,920,22100,2015-01-21,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,163.76
Fiestas del Municipio,338,22611,2015-01-21,B38853990,SOUND CANARIAS S.L.U.,"Montaje Sonido, Iluminacion y Video Celebracion Dia Internac ional de las Personas Discapac itadas, en Auditorio Infanta L",2044.77
Fiestas del Municipio,338,22611,2015-01-21,G38978474,ASOCIACION CULTURAL GRUPO TAIMER,"Animacion en la Romeria de Aro na ,Seguridad Social-Fiestas S an Antonio Abad",410
Ordinario no inventariable,130,22000,2015-01-21,B38081790,THE RED PEN S.L.,3 Sellos Fechadores- Policia L ocal,176.55
Primas de seguros vehiculos mples.,130,22401,2015-01-21,A28961639,WILLIS IBERIA,"Pago Seguro 6961-CXN, Periodo:  19/12/14-30/12/14, Poliza n? 77498137, Zurich Insurance",9.98
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio y 10 Botellon es Agua-Informatica,73.43
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 1 Botellon A gua, 1 Caja Vasos-Alcaldia",30.38
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 16 Botellone s Agua, 1 Caja Vasos-Plusvalia",118.88
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 17 Botellone s Agua, 2 Cajas Vasos-Obras e Infraestructura",138.12
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 17 Botellone s Agua,2 Cajas Vasos-Registro",138.12
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 1Botellon Ag ua-Juventud",17.13
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2 Botellones  Agua-Participación Ciudadana",24.63
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 3 Botellas A gua,1 Caja Vasos-Medio Ambient e",44.27
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5 Botellones  Agua-Cementerio",43.38
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 6 Botellones  Agua-Recaudaci?n Municipal",50.13
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,3 Botellones Agua, 1Caja Vasos-Archivo",44.27
Productos alimenticios,920,22105,2015-01-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1Cuota Servicio, 3 Botellones Agua-Urbanismo",31.02
Repar. conserv. y man. elementos de transporte,132,21400,2015-01-21,F38206454,COOPERATIVA TAXIS DE ARONA,"Reparacion vehiculo 8629CDV, P olicia Local.",553.44
Energía eléctrica,320,22100,2015-01-22,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,260.53
Energía eléctrica,320,22100,2015-01-22,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1159.8
Energía eléctrica,340,22100,2015-01-22,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,338.05
Energía eléctrica,920,22100,2015-01-22,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,72.71
Energía eléctrica,920,22100,2015-01-22,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,503.02
Energía eléctrica,920,22100,2015-01-22,B82846825,ENDESA ENERGIA XXI S.L.,Potencia         P1,54.3
Informáticas,920,22203,2015-01-22,B64074230,UBILIBET S.L.,"Servicios Renovacion Dominio-O RGplayadelasamericas.org,TRAVE Layuntamientodearona.travel, M OBIarona.mobi",1326.95
"Prensa, revistas, libros y otras publicaciones",920,22001,2015-01-22,A81962201,ARANZADI EDITORIAL,"4 Ejem Leyes Administrativas, 20? Edici?n- Intervenci?n, Per sonal",325.2
"Prensa, revistas, libros y otros",931,22001,2015-01-22,A81962201,ARANZADI EDITORIAL,"4 Ejem Leyes Administrativas, 20? Edici?n- Intervenci?n, Per sonal",325.2
Servicios de Recaudación,931,22708,2015-01-22,S3826006C,DELEGACION PROVINCIAL HACIENDA,"Liquidacion Diciembre 2014, ap licación convenio FEMP-AEAT, p or Recaudación Ejecutiva de lo s Ingreso Dcho publicos Corp.L",366.97
Energía eléctrica,340,22100,2015-01-23,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1200.91
Energía eléctrica,920,22100,2015-01-23,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2322.12
Fiestas del Municipio,338,22611,2015-01-23,B38436499,TECNISUR TENERIFE S.L.,"Cuñas Campaña Publicitaria ""Fi esta en Honor a San Antonio Ab ad Arona 2015""",102.72
